Date,ADANIPORTS.NS,AMBUJACEM.NS,ASIANPAINT.NS,AUROPHARMA.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJFINANCE.NS,BHARTIARTL.NS,INFRATEL.NS,BOSCHLTD.NS,BPCL.NS,CIPLA.NS,COALINDIA.NS,DRREDDY.NS,EICHERMOT.NS,GAIL.NS,HCLTECH.NS,HDFC.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,HPCL.NS,ICICIBANK.NS,IBULHSGFIN.NS,INDUSINDBK.NS,INFY.NS,IOC.NS,ITC.NS,KOTAKBANK.NS,LT.NS,LUPIN.NS,M&M.NS,MARUTI.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBIN.NS,SUNPHARMA.NS,TCS.NS,TATAMOTORS.NS,TATAPOWER.NS,TATASTEEL.NS,TECHM.NS,ULTRACEMCO.NS,UPL.NS,VEDL.NS,WIPRO.NS,YESBANK.NS,ZEEL.NS
2000-03-07,,,,6.175796,1.262881,,,,,,0.274656,44.497459,,302.445221,24.634003,13.428764,,,30.245134000000004,,13.631785999999998,152.957138,1.447316,,,,81.292419,2.171545,0.000889,,,,4.948493,,,0.082781,,15.833982999999998,0.928999,2.205276,,8.186734,0.129849,26.669041,,,,3.3e-05,124.549843,,
2000-03-08,,,,3.25847,1.162833,,,,,,0.25482,44.627384,,280.664063,22.80143,14.414793,,,31.867504,,13.284945,153.560928,1.336224,,,,77.60672,2.114385,0.00092,,,,4.677876,,,0.081049,,15.222976,0.857139,2.322239,,7.901654,0.123931,25.021954,,,,3.3e-05,130.106628,,
2000-03-09,,,,3.145489,1.070335,,,,,,0.257422,43.376236,,258.210846,21.955624,15.342128,,,31.580517,,14.306702,158.837723,1.4088120000000002,,,,74.730064,2.184736,0.000944,,,,4.3037,,,0.084678,,15.115154,0.800953,2.334742,,8.533776,0.12435999999999997,26.367073,,,,3.3e-05,123.793686,,
2000-03-10,,,,3.397129,1.075998,,,,,,0.258397,46.848164,,278.828522,21.955624,15.342128,,,29.770725,,14.196234,156.232346,1.3886120000000002,,,,73.50901800000003,2.15647,0.000954,,,,4.648489,,,0.079564,,14.170859,0.762897,2.307583,,8.019405,0.122044,25.22785,,,,3.2e-05,122.030846,,
2000-03-13,,,,3.664907,1.043906,,,,,,0.258657,50.596779,,301.142517,21.567966,15.201268,,,31.621519,,13.964273,166.580856,1.387351,,,,67.628525,2.088002,0.000944,,,,5.020656,,,0.07725499999999999,,13.278866,0.735812,2.38674,,7.458528,0.113982,24.80232,,,,3.1e-05,112.269112,,
2000-03-14,,,,3.958365,1.125078,,,,,,0.276868,54.646172,,325.238983,20.863134,15.248224,,,31.088533,,13.533466,176.430069,1.494653,,,,62.218483,2.096166,0.000978,,,,5.177008,,,0.079179,,14.32445,0.7946840000000001,2.577764,,8.056596,0.115526,26.792545,,,,3.4e-05,103.288582,,
2000-03-15,,,,3.675179,1.125078,,,,,,0.290851,55.35835600000001,,335.163605,22.554735,15.213007,,,30.438412,,14.557425,190.544357,1.614578,,,,62.809536,2.197927,0.00097,,,,4.763415,,,0.084156,,15.471287,0.8349799999999999,2.666395,,8.378867,0.117499,28.947485,,,,3.6e-05,95.02536,,
2000-03-16,,,,3.564032,1.145843,,,,,,0.290006,51.164612,,308.5707700000001,24.387308,15.248224,,,30.098711,,15.47316,192.835602,1.56093,,,,57.784821,2.12695,0.000895,,,,4.382555,,,0.081736,,15.34715,0.894075,2.723036,,9.010987,0.114926,29.93573,,,,3.6e-05,88.43531800000002,,
2000-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-21,,,,3.529917,1.193036,,,,,,0.312703,54.624512,,333.168457,26.360851,14.097857,,,29.963999,,14.962823,187.039749,1.540729,,,,62.407833,2.094281,0.000826,,,,4.683232,,,0.07621,,15.546468,0.953175,2.855081,,9.26819,0.113553,29.784744,,,,3.6e-05,81.677902,,
2000-03-22,,,,3.429775,1.2043620000000002,,,,,,0.33228,56.20046600000001,,359.826233,28.475357,,,,30.590696,,14.759566,179.461929,1.595014,,,,67.393196,2.262,0.000843,,,,4.933793,,,0.078987,,15.905863,0.949593,2.626731,,9.082266,0.117927,30.073017,,,,3.4e-05,88.212135,,
2000-03-23,,,,3.281946,1.1760469999999998,,,,,,0.340995,56.068138,,343.232269,29.462126,,,,32.845612,,15.320721,174.618271,1.681486,,,,64.6819,2.433487,0.0008029999999999999,,,,4.539571,,,0.078904,,15.745788,0.8972120000000001,2.591698,,8.440828999999999,0.115355,28.618086,,,,3.3e-05,95.269753,,
2000-03-24,,,,3.356778,1.153394,,,,,,0.318947,53.806454,,352.495239,28.616322,,,,32.025635,,16.365651999999994,172.80645800000005,1.772377,,,,68.207077,2.555354,0.000822,,,,4.413282,,,0.079921,,15.722902,0.883109,2.620472,,8.381936999999999,0.113897,29.057301,,,,3.3e-05,102.892235,,
2000-03-27,,,,3.62529,1.170383,,,,,,0.293777,51.219959,,367.52005,29.285919,,,,31.826506,,16.43194,165.655136,1.719359,,,,65.33285500000001,2.397057,0.0008210000000000001,,,,4.5388980000000005,,,0.07659500000000001,,16.980862,0.864527,2.412299,,8.388148,0.11321,28.54944,,,,3.4e-05,111.123146,,
2000-03-28,,,,3.912511,1.245892,,,,,,0.317322,49.4491,,338.120087,28.686811,,,,32.224777,,16.34798,165.856796,1.7666959999999998,,,,62.68751500000001,2.411507,0.0008,,,,4.662515,,,0.07577,,18.340107,0.896984,2.222167,,8.2735,0.110723,29.194544,,,,3.3e-05,117.710495,,
2000-03-29,,,,3.606216,1.340278,,,,,,0.340995,50.450008,,311.078125,28.898258,,,,31.088533,,15.885143,163.998718,1.696636,,,,64.208221,2.405853,0.000824,,,,4.696597,,,0.075468,,17.729097,0.884447,2.121572,,8.360271000000001,0.112439,28.782755,,,,3.3e-05,127.128166,,
2000-03-30,,,,3.578705,1.406348,,,,,,0.32766300000000004,50.56551,,322.934784,28.19342,,,,30.754686,,16.165723999999994,166.461838,1.566611,,,,61.41526,2.305343,0.00082,,,,4.35181,,,0.07450599999999999,,19.147173,0.897658,2.186979,,7.855180000000002,0.118871,29.798477,,,,3.4e-05,116.958138,,
2000-03-31,,,,3.663073,1.493183,,,,,,0.338849,54.53789499999999,,348.396545,30.025995,,,,30.127998,,16.287216,159.518768,1.6701240000000002,,,,56.527908,2.395172,0.0008449999999999999,,,,4.247584,,,0.075055,,20.67959,0.916685,2.262737,,8.447008,0.11544,31.610287,,,,3.5e-05,107.602051,,
2000-04-03,,,,3.700489,1.472418,,,,,,0.36597,61.530586,,330.681549,29.849783,,,,28.950754,,15.511805,172.280777,1.803939,,,,52.005741,2.41716,0.000908,,,,4.539954,,,0.073543,,21.473602,0.954964,2.095658,,8.84366,0.118442,33.66910900000001,,,,3.6e-05,98.994781,,
2000-04-04,,,,3.411067,1.35538,,,,,,0.349321,59.49936700000001,,306.203369,27.488586,,,,26.637272,,14.517663,158.553314,1.72062,,,,47.84536,2.31665,0.0008349999999999999,,,,4.601996,,,0.071756,,19.758184,0.879076,1.928056,,8.137156,0.113639,31.335747,,,,3.3e-05,91.075188,,
2000-04-05,,,,3.39456,1.315738,,,,,,0.33728800000000003,59.901535,,310.210083,26.854231,,,,24.511213,,14.746329,167.986008,1.623417,,,,49.139191,2.289016,0.000796,,,,4.893594,,,0.07285599999999999,,19.751659,0.8784069999999999,2.022929,,8.276606,0.109094,32.461285,,,,3.4e-05,91.988007,,
2000-04-06,,,,3.322664,1.279871,,,,,,0.33137,58.82827800000001,,305.580414,26.184641,,,,23.451595,,16.839104000000006,168.518311,1.579864,,,,53.03138000000001,2.330474,0.000778,,,,4.876533,,,0.06928200000000001,,23.28653,0.91288,1.92072,,7.976035,0.272964,33.651432,,,,3.3e-05,93.970192,,
